Id,SalePrice
1461,116116.6919977799
1462,161432.2651504504
1463,189203.68800954722
1464,201949.76777480147
1465,197469.21033743746
1466,173730.47561284679
1467,172679.96425971415
1468,167743.0350784525
1469,193674.18541883834
1470,119271.26564221355
1471,169564.73183076046
1472,102269.52749514459
1473,100915.48989113017
1474,145651.95505359967
1475,96364.6366242429
1476,364112.45370994875
1477,252555.09283515657
1478,306119.48922029906
1479,309631.7122890767
1480,452824.92215617304
1481,316454.546339686
1482,214407.95565430625
1483,180723.11883718235
1484,165349.57163542236
1485,195042.4941540592
1486,201343.46715870866
1487,344171.8295387348
1488,225857.85806237528
1489,198826.28019781766
1490,247110.06216657156
1491,204251.54548100487
1492,96325.47240522539
1493,197358.49380704475
1494,318987.2280712279
1495,291927.37317680696
1496,239156.3398492726
1497,167673.9442751821
1498,172819.86479619058
1499,167026.28599976836
1500,162738.60686234507
1501,193510.1335741883
1502,148602.49030436
1503,289342.8223976481
1504,234834.91619247055
1505,223100.92118778007
1506,195330.82710896537
1507,245230.7224463163
1508,201347.4830317175
1509,158291.3788510771
1510,155570.00695698662
1511,156598.7065944305
1512,176356.15820753245
1513,146297.2878856301
1514,170727.66129968592
1515,198175.87703781165
1516,163994.74000762112
1517,179272.6023087236
1518,127737.71160999042
1519,219418.17383525067
1520,131154.0717526666
1521,136917.4981890097
1522,188871.08543876893
1523,110128.90852885881
1524,108499.07532779862
1525,117963.24819499932
1526,103462.83171846581
1527,106657.96431783508
1528,123086.68649000951
1529,155006.1732382929
1530,206869.3979580837
1531,146624.27104206663
1532,97231.0444231071
1533,151743.02392641534
1534,123444.2556936075
1535,150920.98326191102
1536,105264.56303900997
1537,67232.74202888062
1538,164718.39981687767
1539,196093.28290984183
1540,120509.25956798623
1541,141548.7416702185
1542,142449.2978600946
1543,181567.09580132316
1544,81214.33864420558
1545,110803.92850815298
1546,147744.80135942582
1547,136987.71548498978
1548,134007.43138446825
1549,125335.80906797457
1550,150231.0350171321
1551,107065.12793090363
1552,151507.2179225783
1553,157614.48754472026
1554,116005.55037633824
1555,170434.62716027958
1556,85578.83023480212
1557,115291.26466553198
1558,110142.95038668378
1559,90025.75637747088
1560,128319.05456693388
1561,134645.41472244076
1562,136141.91562554656
1563,126121.06919990493
1564,162658.216607982
1565,166023.58430171976
1566,231343.73134588043
1567,77736.41290646416
1568,247478.70196433523
1569,152201.18341700739
1570,143579.6891394002
1571,106272.76485381459
